account_age_months,monthly_charges,total_tickets,membership_type,churned
52,160.37,12,0,1
15,61.27,7,1,1
61,125.6,3,1,1
21,150.76,8,1,1
24,108.83,4,1,1
3,104.74,12,0,1
22,58.7,8,0,1
53,34.9,3,2,0
2,163.55,9,1,1
30,164.07,4,2,1
38,121.3,8,0,1
2,74.24,7,0,1
64,75.87,2,0,0
60,136.15,0,0,0
21,163.54,2,0,1
33,161.93,3,0,1
58,144.78,1,0,0
22,122.73,0,1,0
49,33.46,6,2,1
59,45.86,7,0,1
42,163.77,6,1,1
60,117.03,13,1,1
15,21.47,4,2,1
62,36.24,11,0,1
62,126.16,0,2,0
47,20.81,6,0,1
62,45.73,12,1,1
51,107.8,6,1,1
55,130.7,8,1,1
64,124.31,2,1,0
3,55.88,8,2,1
51,133.95,13,0,1
7,57.96,0,0,0
21,72.06,0,2,0
39,139.44,13,0,1
18,123.94,3,1,1
4,155.88,8,0,1
60,125.22,5,1,1
14,110.93,12,2,1
9,34.99,10,0,1
53,78.83,2,2,0
2,62.43,0,0,0
60,59.04,3,1,0
71,175.68,11,2,1
44,82.9,12,0,1
8,162.73,8,1,1
47,120.98,2,2,0
35,147.17,11,2,1
36,100.42,8,0,1
50,112.3,6,0,1
4,98.8,11,0,1
2,51.24,13,1,1
6,135.59,14,0,1
54,64.92,3,2,0
4,23.89,2,2,0
54,123.28,9,0,1
63,48.34,14,0,1
18,170.47,4,2,1
44,172.63,4,1,1
34,166.38,2,0,1
62,79.23,11,0,1
14,22.47,8,2,1
48,168.53,3,0,1
15,88.51,10,1,1
62,174.66,4,2,1
40,174.18,3,0,1
53,156.48,4,2,1
24,67.11,6,0,1
26,81.62,8,0,1
60,156.18,6,0,1
41,70.71,12,1,1
29,47.12,4,1,1
15,109.09,9,2,1
45,169.78,9,0,1
65,131.36,6,0,1
71,111.21,13,1,1
9,35.55,14,0,1
1,118.4,9,1,1
8,178.41,4,0,1
63,42.41,2,2,0
11,102.93,6,0,1
8,160.38,12,0,1
35,138.52,10,1,1
35,131.52,10,0,1
33,132.4,1,0,0
5,77.52,14,1,1
41,66.97,11,2,1
28,149.5,8,2,1
7,149.62,9,1,1
12,158.73,9,1,1
34,166.12,11,1,1
33,101.81,0,1,0
48,100.24,12,1,1
23,147.73,5,2,1
62,123.99,6,2,1
37,132.31,13,1,1
44,147.33,12,0,1
35,162.4,7,1,1
65,74.08,9,0,1
47,80.09,8,1,1
3,35.04,1,1,0
1,112.52,10,2,1
5,25.75,9,0,1
14,94.5,1,0,0
27,106.82,4,2,1
9,65.85,12,2,1
15,114.53,4,2,1
42,24.88,5,2,1
51,25.98,2,0,0
63,151.62,7,0,1
52,77.63,12,1,1
4,40.33,0,1,0
23,103.56,5,2,1
15,143.2,3,2,1
43,54.53,0,2,0
29,119.66,14,1,1
36,33.66,6,1,1
13,28.27,8,1,1
32,105.02,12,1,1
71,106.5,3,1,0
59,121.99,3,1,1
28,136.17,5,1,1
66,176.14,11,2,1
42,102.61,14,2,1
45,71.67,2,2,0
62,147.23,12,2,1
57,63.33,11,1,1
6,90.24,5,0,1
28,32.55,6,1,1
28,24.06,10,0,1
44,174.02,9,2,1
30,153.76,9,1,1
62,131.36,2,2,0
62,85.43,6,1,1
1,47.73,13,2,1
27,45.03,2,0,0
62,60.04,12,0,1
3,107.88,12,0,1
70,134.34,1,1,0
27,125.63,11,0,1
9,64.79,13,1,1
62,172.78,9,0,1
37,138.06,3,0,1
51,108.7,11,1,1
44,117.88,7,1,1
24,87.14,12,0,1
59,59.64,14,1,1
32,76.96,8,0,1
52,141.26,6,1,1
62,22.3,0,2,0
58,38.57,2,2,0
52,27.36,12,2,1
12,26.52,11,2,1
39,156.87,13,2,1
2,132.59,8,0,1
3,95.87,14,2,1
56,35.65,11,2,1
59,98.66,0,2,0
2,95.76,8,2,1
2,47.71,7,1,1
54,89.42,0,0,0
1,83.76,5,2,1
19,118.54,4,2,1
2,121.61,5,2,1
53,27.25,9,0,1
44,79.94,11,1,1
32,120.14,12,0,1
70,100.5,12,1,1
32,157.04,12,2,1
68,125.39,14,2,1
55,46.07,4,0,0
56,31.29,5,0,1
17,122.79,4,1,1
38,24.24,10,1,1
24,113.72,11,0,1
69,170.44,4,1,1
70,112.08,3,0,0
11,82.11,2,1,1
16,122.93,2,0,1
59,93.32,3,0,0
70,107.3,8,0,1
3,170.63,1,1,1
20,81.78,14,1,1
59,173.79,8,1,1
36,164.86,0,0,0
19,51.33,13,1,1
67,31.1,14,1,1
19,36.12,14,0,1
20,22.92,0,2,0
71,35.11,4,0,0
52,129.28,5,1,1
33,31.39,5,0,1
40,71.04,2,2,0
39,155.18,6,0,1
1,23.72,8,1,1
11,150.31,10,2,1
57,65.1,11,1,1
50,38.91,9,2,1
23,131.48,7,2,1
31,120.63,5,0,1
